Data type,Cancer group/site,Year,Sex,Age group (years),Count,ICD10 codes
Actual,Melanoma of the skin,1971,Males,00–04,1,C43
Actual,Melanoma of the skin,1971,Males,05–09,0,C43
Actual,Melanoma of the skin,1971,Males,10–14,1,C43
Actual,Melanoma of the skin,1971,Males,15–19,2,C43
Actual,Melanoma of the skin,1971,Males,20–24,3,C43
Actual,Melanoma of the skin,1971,Males,25–29,8,C43
Actual,Melanoma of the skin,1971,Males,30–34,17,C43
Actual,Melanoma of the skin,1971,Males,35–39,14,C43
Actual,Melanoma of the skin,1971,Males,40–44,24,C43
Actual,Melanoma of the skin,1971,Males,45–49,22,C43
Actual,Melanoma of the skin,1971,Males,50–54,29,C43
Actual,Melanoma of the skin,1971,Males,55–59,26,C43
Actual,Melanoma of the skin,1971,Males,60–64,10,C43
Actual,Melanoma of the skin,1971,Males,65–69,15,C43
Actual,Melanoma of the skin,1971,Males,70–74,18,C43
Actual,Melanoma of the skin,1971,Males,75–79,4,C43
Actual,Melanoma of the skin,1971,Males,80–84,5,C43
Actual,Melanoma of the skin,1971,Males,85–89,0,C43
Actual,Melanoma of the skin,1971,Males,90+,0,C43
Actual,Melanoma of the skin,1971,Males,All ages combined,199,C43
Actual,Melanoma of the skin,1972,Males,00–04,0,C43
Actual,Melanoma of the skin,1972,Males,05–09,0,C43
Actual,Melanoma of the skin,1972,Males,10–14,0,C43
Actual,Melanoma of the skin,1972,Males,15–19,2,C43
Actual,Melanoma of the skin,1972,Males,20–24,5,C43
Actual,Melanoma of the skin,1972,Males,25–29,6,C43
Actual,Melanoma of the skin,1972,Males,30–34,9,C43
Actual,Melanoma of the skin,1972,Males,35–39,11,C43
Actual,Melanoma of the skin,1972,Males,40–44,19,C43
Actual,Melanoma of the skin,1972,Males,45–49,26,C43
Actual,Melanoma of the skin,1972,Males,50–54,22,C43
Actual,Melanoma of the skin,1972,Males,55–59,28,C43
Actual,Melanoma of the skin,1972,Males,60–64,26,C43
Actual,Melanoma of the skin,1972,Males,65–69,15,C43
Actual,Melanoma of the skin,1972,Males,70–74,18,C43
Actual,Melanoma of the skin,1972,Males,75–79,10,C43
Actual,Melanoma of the skin,1972,Males,80–84,7,C43
Actual,Melanoma of the skin,1972,Males,85–89,2,C43
Actual,Melanoma of the skin,1972,Males,90+,0,C43
Actual,Melanoma of the skin,1972,Males,All ages combined,206,C43
Actual,Melanoma of the skin,1973,Males,00–04,0,C43
Actual,Melanoma of the skin,1973,Males,05–09,0,C43
Actual,Melanoma of the skin,1973,Males,10–14,0,C43
Actual,Melanoma of the skin,1973,Males,15–19,2,C43
Actual,Melanoma of the skin,1973,Males,20–24,8,C43
Actual,Melanoma of the skin,1973,Males,25–29,9,C43
Actual,Melanoma of the skin,1973,Males,30–34,11,C43
Actual,Melanoma of the skin,1973,Males,35–39,8,C43
Actual,Melanoma of the skin,1973,Males,40–44,16,C43
Actual,Melanoma of the skin,1973,Males,45–49,22,C43
Actual,Melanoma of the skin,1973,Males,50–54,21,C43
Actual,Melanoma of the skin,1973,Males,55–59,28,C43
Actual,Melanoma of the skin,1973,Males,60–64,26,C43
